Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,174.750000,174.990005,170.110001,170.820007,170.820007,2089400
2018-10-02,163.220001,164.000000,159.059998,162.100006,162.100006,2707100
2018-10-03,162.539993,162.750000,154.850006,155.740005,155.740005,3583200
2018-10-04,155.000000,155.630005,151.750000,152.929993,152.929993,2088000
2018-10-05,152.899994,154.460007,149.119995,151.690002,151.690002,1975800
2018-10-08,151.600006,151.789993,146.270004,147.149994,147.149994,2586500
2018-10-09,147.350006,149.820007,146.300003,147.940002,147.940002,2104100
2018-10-10,147.869995,147.910004,140.100006,140.250000,140.250000,2586100
2018-10-11,140.000000,144.009995,138.929993,139.770004,139.770004,2285400
2018-10-12,142.139999,144.979996,141.110001,143.389999,143.389999,2118600
2018-10-15,142.639999,143.000000,140.389999,141.789993,141.789993,2009200
2018-10-16,143.339996,147.210007,142.350006,147.020004,147.020004,1812100
2018-10-17,146.389999,148.860001,144.789993,148.630005,148.630005,1363600
2018-10-18,148.679993,149.740005,145.490005,147.320007,147.320007,1844300
2018-10-19,147.910004,149.070007,145.179993,145.419998,145.419998,4373500
2018-10-22,145.720001,149.580002,144.630005,149.309998,149.309998,2368400
2018-10-23,146.820007,149.710007,143.199997,148.300003,148.300003,2943100
2018-10-24,147.020004,151.850006,139.490005,140.360001,140.360001,4350900
2018-10-25,141.929993,144.759995,139.429993,143.350006,143.350006,1771100
2018-10-26,141.339996,142.000000,136.940002,140.139999,140.139999,1755000
2018-10-29,142.570007,143.259995,136.440002,139.220001,139.220001,2061500
2018-10-30,139.270004,143.229996,139.270004,142.559998,142.559998,1304900
2018-10-31,144.460007,148.449997,143.360001,147.600006,147.600006,1943800
2018-11-01,148.779999,151.058105,147.529999,150.360001,150.360001,995862
